"chrom","start","end","pos"
"NW_022145598.1",431276,449406,440341
"NW_022145598.1",533263,544983,539123
"NW_022145598.1",610715,619103,614909
"NW_022145598.1",671293,683200,677246.5
"NW_022145598.1",929522,939670,934596
"NW_022145598.1",1076641,1162766,1119703.5
"NW_022145598.1",1256717,1267536,1262126.5
"NW_022145598.1",2089133,2094604,2091868.5
"NW_022145598.1",2194521,2199197,2196859
"NW_022145598.1",2601986,2611377,2606681.5
"NW_022145598.1",3004657,3008780,3006718.5
"NW_022145598.1",3108657,3113659,3111158
"NW_022145598.1",3113660,3119735,3116697.5
"NW_022145598.1",3562837,3568725,3565781
"NW_022145598.1",3656593,3668533,3662563
"NW_022145598.1",3981032,3988886,3984959
"NW_022145598.1",4084273,4090330,4087301.5
"NW_022145598.1",4199551,4212977,4206264
"NW_022145598.1",4336820,4341202,4339011
"NW_022145598.1",4517930,4522306,4520118
"NW_022145598.1",4526650,4530994,4528822
"NW_022145598.1",4664376,4670777,4667576.5
"NW_022145598.1",5105644,5121071,5113357.5
"NW_022145598.1",5371444,5390720,5381082
"NW_022145598.1",5699976,5742397,5721186.5
"NW_022145598.1",5973994,5978605,5976299.5
"NW_022145598.1",6220384,6224360,6222372
"NW_022145598.1",6286719,6291077,6288898
"NW_022145598.1",6366043,6414476,6390259.5
"NW_022145598.1",6736787,6816816,6776801.5
"NW_022145598.1",7039821,7075308,7057564.5
"NW_022145598.1",7243024,7247819,7245421.5
"NW_022145598.1",7431450,7438198,7434824
"NW_022145598.1",7495520,7502005,7498762.5
"NW_022145598.1",7669169,7672534,7670851.5
"NW_022145598.1",8491104,8545191,8518147.5
"NW_022145598.1",8589733,8652466,8621099.5
"NW_022145598.1",8760417,8828329,8794373
"NW_022145598.1",8872449,8926976,8899712.5
"NW_022145598.1",9376718,9443014,9409866
"NW_022145598.1",10914573,10921856,10918214.5
"NW_022145598.1",10963046,10966223,10964634.5
"NW_022145598.1",10982479,10986040,10984259.5
"NW_022145598.1",11014622,11017436,11016029
"NW_022145598.1",11276041,11280434,11278237.5
"NW_022145598.1",12161143,12176161,12168652
"NW_022145598.1",12295705,12301257,12298481
"NW_022145598.1",12492836,12495899,12494367.5
"NW_022145598.1",12558722,12564189,12561455.5
"NW_022145598.1",12656183,12663213,12659698
"NW_022145598.1",12850450,12863613,12857031.5
"NW_022145598.1",12914318,12923640,12918979
"NW_022145598.1",13961209,13978011,13969610
"NW_022145598.1",14100953,14107464,14104208.5
"NW_022145598.1",14217927,14224535,14221231
"NW_022145598.1",14289267,14294582,14291924.5
"NW_022145598.1",14450680,14470866,14460773
"NW_022145598.1",14692158,14698472,14695315
"NW_022145598.1",14782387,14787544,14784965.5
"NW_022145598.1",15323127,15329026,15326076.5
"NW_022145598.1",15584469,15591969,15588219
"NW_022145598.1",15591971,15603294,15597632.5
"NW_022145598.1",15614188,15697343,15655765.5
"NW_022145598.1",16114611,16118347,16116479
"NW_022145598.1",16347303,16362330,16354816.5
"NW_022145598.1",16656126,16661127,16658626.5
"NW_022145598.1",16744056,16749979,16747017.5
"NW_022145598.1",16749980,16754976,16752478
"NW_022145598.1",16844887,16849573,16847230
"NW_022145598.1",17013085,17018028,17015556.5
"NW_022145598.1",17078361,17085054,17081707.5
"NW_022145598.1",17145083,17149405,17147244
"NW_022145598.1",17190263,17198242,17194252.5
"NW_022145598.1",17210756,17217978,17214367
"NW_022145598.1",17264045,17274512,17269278.5
"NW_022145598.1",17312037,17318443,17315240
"NW_022145598.1",17318444,17321902,17320173
"NW_022145598.1",17487854,17491477,17489665.5
"NW_022145598.1",18749594,18780174,18764884
"NW_022145598.1",19583704,19614394,19599049
"NW_022145598.1",19627210,19680671,19653940.5
"NW_022145598.1",19680672,19685360,19683016
"NW_022145598.1",19838763,19845517,19842140
"NW_022145598.1",20590227,20597841,20594034
"NW_022145598.1",20677163,20682587,20679875
"NW_022145598.1",21504218,21509741,21506979.5
"NW_022145598.1",21536012,21546184,21541098
"NW_022145598.1",21546185,21551528,21548856.5
"NW_022145598.1",21551538,21557262,21554400
"NW_022145598.1",23889233,23911644,23900438.5
"NW_022145598.1",23938661,23943832,23941246.5
"NW_022145598.1",24027834,24034797,24031315.5
"NW_022145598.1",24925113,24940233,24932673
"NW_022145598.1",25942619,25968403,25955511
"NW_022145598.1",26930187,26939611,26934899
"NW_022145598.1",26963223,26969180,26966201.5
"NW_022145598.1",27043982,27049843,27046912.5
"NW_022145598.1",27093223,27099837,27096530
"NW_022145598.1",27176853,27182153,27179503
"NW_022145598.1",29809535,29813949,29811742
"NW_022145598.1",29863849,29867788,29865818.5
"NW_022145598.1",30249575,30254053,30251814
"NW_022145598.1",30254054,30259428,30256741
"NW_022145598.1",30259430,30265389,30262409.5
